,sex,age,Medu,Fedu,traveltime,studytime,freetime,goout,G1,G2,G3,letter_grade
0,0.0,18.0,4,4.0,2.0,2.0,3.0,4.0,4.0,11.0,11.0,B
1,0.0,17.0,1,1.0,1.0,2.0,3.0,3.0,9.0,11.0,11.0,B
2,0.0,15.0,1,1.0,1.0,2.0,3.0,2.0,12.0,13.0,12.0,B
3,0.0,15.0,4,2.0,1.0,3.0,2.0,2.0,14.0,14.0,14.0,B
4,0.0,16.0,3,3.0,1.0,2.0,3.0,2.0,11.0,13.0,13.0,B
5,1.0,16.0,4,3.0,1.0,2.0,4.0,2.0,12.0,12.0,13.0,B
6,1.0,16.0,2,2.0,1.0,2.0,4.0,4.0,13.0,12.0,13.0,B
7,0.0,17.0,4,4.0,2.0,2.0,1.5,4.0,10.0,13.0,13.0,B
8,1.0,15.0,3,2.0,1.0,2.0,2.0,2.0,15.0,16.0,17.0,A
9,1.0,15.0,3,4.0,1.0,2.0,5.0,1.0,12.0,12.0,13.0,B
10,0.0,15.0,4,4.0,1.0,2.0,3.0,3.0,14.0,14.0,14.0,B
11,0.0,15.0,2,1.0,3.0,3.0,2.0,2.0,10.0,12.0,13.0,B
12,1.0,15.0,4,4.0,1.0,1.0,3.0,3.0,12.0,13.0,12.0,B
13,1.0,15.0,4,3.0,2.0,2.0,4.0,3.0,12.0,12.0,13.0,B
14,1.0,15.0,2,2.0,1.0,3.0,5.0,2.0,14.0,14.0,15.0,B
15,0.0,16.0,4,4.0,1.0,1.0,4.0,4.0,17.0,17.0,17.0,A
16,0.0,16.0,4,4.0,1.0,3.0,2.0,3.0,13.0,13.0,14.0,B
17,0.0,16.0,3,3.0,3.0,2.0,3.0,2.0,13.0,14.0,14.0,B
18,1.0,17.0,3,2.0,1.0,1.0,5.0,5.0,8.0,8.0,7.0,C
19,1.0,16.0,4,3.0,1.0,1.0,1.5,3.0,12.0,12.0,12.0,B
20,1.0,15.0,4,3.0,1.0,2.0,4.0,1.0,12.0,13.0,14.0,B
21,1.0,15.0,4,4.0,1.0,1.0,4.0,2.0,11.0,12.0,12.0,B
22,1.0,16.0,4,2.0,1.0,2.0,5.0,1.0,12.0,13.0,14.0,B
23,1.0,16.0,2,2.0,2.0,2.0,4.0,4.0,10.0,10.0,10.0,C
24,0.0,15.0,2,4.0,1.0,3.0,3.0,2.0,10.0,11.0,10.0,C
25,0.0,16.0,2,2.0,1.0,1.0,2.0,2.0,10.0,11.0,12.0,B
26,1.0,15.0,2,2.0,1.0,1.0,2.0,2.0,11.0,12.0,12.0,B
27,1.0,15.0,4,2.0,1.0,1.0,2.0,4.0,11.0,11.0,11.0,B
28,1.0,16.0,3,4.0,1.0,2.0,3.0,3.0,12.0,12.0,13.0,B
29,1.0,16.0,4,4.0,1.0,2.0,4.0,5.0,12.0,11.0,12.0,B
30,1.0,15.0,4,4.0,1.0,2.0,4.0,2.0,10.0,11.0,11.0,B
31,1.0,15.0,4,4.0,2.0,2.0,3.0,1.0,15.0,15.0,15.0,B
32,1.0,15.0,4,3.0,1.0,2.0,5.0,2.0,13.0,14.0,15.0,B
33,1.0,15.0,3,3.0,1.0,2.0,3.0,2.0,13.0,12.0,12.0,B
34,1.0,16.0,3,2.0,1.0,1.0,4.0,3.0,12.0,12.0,12.0,B
35,0.0,15.0,2,3.0,2.0,1.0,5.0,1.0,11.0,11.0,11.0,B
36,1.0,15.0,4,3.0,1.0,3.0,4.0,3.0,14.0,14.0,14.0,B
37,1.0,16.0,4,4.0,2.0,3.0,4.0,3.0,13.0,13.0,13.0,B
38,0.0,15.0,3,4.0,1.0,3.0,3.0,2.0,11.0,12.0,12.0,B
39,0.0,15.0,2,2.0,1.0,1.0,3.0,1.0,14.0,13.0,12.0,B
40,0.0,16.0,2,2.0,2.0,2.0,3.0,3.0,11.0,11.0,10.0,C
41,1.0,15.0,4,4.0,1.0,1.0,4.0,3.0,10.0,11.0,11.0,B
42,1.0,15.0,4,4.0,1.0,2.0,3.0,3.0,14.0,15.0,15.0,B
43,1.0,15.0,2,2.0,1.0,1.0,4.0,1.0,9.0,10.0,10.0,C
44,0.0,16.0,2,2.0,2.0,2.0,3.0,3.0,10.0,11.0,11.0,B
45,0.0,15.0,4,3.0,1.0,2.0,2.0,2.0,10.0,11.0,11.0,B
46,0.0,16.0,3,3.0,1.0,2.0,3.0,5.0,13.0,12.0,13.0,B
47,1.0,16.0,4,3.0,1.0,3.5,2.0,2.0,17.0,17.0,17.0,A
48,1.0,15.0,4,2.0,1.0,2.0,3.0,3.0,11.0,12.0,13.0,B
49,0.0,15.0,4,4.0,1.0,2.0,4.0,4.0,13.0,12.0,12.0,B
50,0.0,16.0,2,2.0,3.0,2.0,3.0,3.0,14.0,13.0,13.0,B
51,0.0,15.0,4,2.0,1.0,2.0,3.0,3.0,16.0,14.0,16.0,A
52,1.0,15.0,4,2.0,2.0,1.0,5.0,5.0,10.0,9.0,9.0,C
53,0.0,15.0,4,4.0,1.0,1.0,3.0,4.0,13.0,12.0,12.0,B
54,0.0,15.0,3,3.0,1.0,1.0,3.0,4.0,13.0,12.0,13.0,B
55,0.0,16.0,2,1.0,1.0,2.0,3.0,4.0,12.0,13.0,12.0,B
56,0.0,15.0,4,3.0,1.0,2.0,3.0,2.0,15.0,14.0,15.0,B
57,1.0,15.0,4,4.0,1.0,2.0,2.0,2.0,15.0,15.0,16.0,A
58,1.0,15.0,1,2.0,1.0,2.0,3.0,2.0,14.0,13.0,14.0,B
59,0.0,16.0,4,2.0,1.0,2.0,2.0,3.0,16.0,15.0,16.0,A
60,0.0,16.0,4,4.0,1.0,2.0,4.0,4.0,17.0,16.0,16.0,A
61,0.0,16.0,1,1.0,3.5,1.0,5.0,5.0,10.0,10.0,16.0,A
62,0.0,16.0,1,2.0,1.0,2.0,4.0,3.0,13.0,13.0,10.0,C
63,0.0,16.0,4,3.0,1.0,3.0,4.0,4.0,14.0,13.0,13.0,B
64,0.0,15.0,4,3.0,1.0,2.0,4.0,4.0,13.0,12.0,12.0,B
65,0.0,16.0,4,3.0,3.0,2.0,4.0,3.0,16.0,15.0,16.0,A
66,1.0,15.0,4,4.0,1.0,3.5,3.0,3.0,11.0,12.0,12.0,B
67,0.0,16.0,3,1.0,1.0,3.5,3.0,3.0,10.0,9.0,10.0,C
68,0.0,15.0,2,2.0,2.0,2.0,1.5,3.0,11.0,10.0,11.0,B
69,0.0,15.0,3,1.0,2.0,3.5,4.0,2.0,15.0,15.0,15.0,B
70,1.0,16.0,3,1.0,2.0,3.5,3.0,2.0,13.0,11.0,11.0,B
71,1.0,15.0,4,2.0,1.0,3.5,3.0,3.0,11.0,9.0,10.0,C
72,0.0,15.0,1,1.0,1.0,2.0,3.0,4.0,13.0,11.0,11.0,B
73,1.0,16.0,3,1.0,1.0,1.0,3.0,2.0,13.0,13.0,14.0,B
74,0.0,16.0,3,3.0,1.0,2.0,3.0,3.0,11.0,11.0,11.0,B
75,1.0,15.0,4,3.0,1.0,2.0,3.0,3.0,11.0,11.0,11.0,B
76,1.0,15.0,4,0.0,2.0,3.5,4.0,3.0,12.0,11.0,11.0,B
77,0.0,16.0,2,2.0,1.0,3.5,2.0,3.0,13.0,13.0,13.0,B
78,1.0,17.0,2,1.0,2.0,1.0,5.0,1.0,9.0,9.0,10.0,C
79,0.0,16.0,3,4.0,1.0,2.0,4.0,3.0,12.0,11.0,11.0,B
80,1.0,15.0,2,3.0,1.0,1.0,2.0,2.0,11.0,11.0,12.0,B
81,1.0,15.0,2,3.0,1.0,3.0,3.0,2.0,10.0,9.0,9.0,C
82,0.0,15.0,3,2.0,1.0,2.0,4.0,4.0,12.0,11.0,11.0,B
83,1.0,15.0,2,2.0,2.0,2.0,3.0,3.0,13.0,12.0,13.0,B
84,0.0,15.0,1,1.0,1.0,2.0,3.0,2.0,13.0,12.0,12.0,B
85,0.0,15.0,4,4.0,2.0,2.0,4.0,4.0,12.0,11.0,12.0,B
86,0.0,16.0,2,2.0,1.0,2.0,3.0,4.0,13.0,11.0,11.0,B
87,0.0,15.0,4,2.0,1.0,3.0,3.0,3.0,15.0,15.0,15.0,B
88,1.0,16.0,2,2.0,2.0,2.0,4.0,2.0,12.0,10.0,11.0,B
89,1.0,16.0,4,4.0,1.0,2.0,1.5,3.0,9.0,9.0,10.0,C
90,0.0,16.0,3,3.0,1.0,3.0,3.0,3.0,9.0,11.0,11.0,B
91,0.0,15.0,4,3.0,1.0,1.0,5.0,5.0,14.0,13.0,13.0,B
92,0.0,16.0,3,1.0,1.0,2.0,3.0,3.0,12.0,13.0,12.0,B
93,0.0,16.0,4,2.0,2.0,2.0,3.0,3.0,13.0,14.0,14.0,B
94,1.0,15.0,2,2.0,1.0,3.5,3.0,4.0,11.0,12.0,12.0,B
95,0.0,15.0,1,1.0,2.0,3.5,1.5,2.0,13.0,13.0,13.0,B
96,1.0,16.0,4,3.0,2.0,1.0,3.0,3.0,9.0,11.0,11.0,B
97,0.0,16.0,2,1.0,1.0,2.0,3.0,5.0,13.0,12.0,12.0,B
98,0.0,16.0,4,4.0,1.0,1.0,3.0,4.0,12.0,13.0,13.0,B
99,0.0,16.0,4,3.0,1.0,3.0,3.0,5.0,12.0,13.0,13.0,B
100,1.0,16.0,4,4.0,1.0,1.0,5.0,5.0,9.0,9.0,8.0,C
101,1.0,16.0,4,4.0,1.0,3.0,4.0,3.0,16.0,16.0,16.0,A
102,1.0,15.0,4,4.0,1.0,1.0,3.0,3.0,12.0,13.0,12.0,B
103,0.0,15.0,3,2.0,2.0,2.0,3.0,5.0,11.0,10.0,10.0,C
104,1.0,15.0,3,4.0,1.0,2.0,4.0,4.0,16.0,16.0,16.0,A
105,0.0,15.0,3,3.0,1.0,3.5,3.0,3.0,10.0,10.0,10.0,C
106,0.0,15.0,2,2.0,1.0,3.5,1.5,2.0,10.0,10.0,10.0,C
107,1.0,16.0,3,3.0,1.0,3.0,3.0,3.0,13.0,14.0,14.0,B
108,1.0,15.0,4,4.0,3.5,3.5,3.0,5.0,12.0,10.0,11.0,B
109,0.0,16.0,4,4.0,1.0,3.0,4.0,5.0,15.0,15.0,14.0,B
110,1.0,15.0,4,4.0,1.0,1.0,5.0,3.0,13.0,14.0,14.0,B
111,0.0,16.0,3,3.0,1.0,3.0,1.5,2.0,11.0,11.0,11.0,B
112,0.0,16.0,2,2.0,1.0,2.0,1.5,2.0,8.0,10.0,10.0,C
113,1.0,15.0,4,2.0,1.0,1.0,5.0,2.0,18.0,17.0,18.0,A
114,1.0,15.0,2,1.0,1.0,2.0,4.0,2.0,10.0,9.0,10.0,C
115,1.0,16.0,4,4.0,1.0,2.0,4.0,4.0,16.0,14.0,14.0,B
116,1.0,15.0,4,4.0,2.0,2.0,4.0,3.0,16.0,15.0,16.0,A
117,1.0,16.0,3,3.0,2.0,1.0,4.0,2.0,14.0,14.0,15.0,B
118,1.0,17.0,1,3.0,3.0,2.0,2.0,4.0,12.0,11.0,11.0,B
119,1.0,15.0,3,4.0,1.0,1.0,4.0,3.0,14.0,13.0,14.0,B
120,0.0,15.0,1,2.0,1.0,2.0,2.0,3.0,14.0,14.0,14.0,B
121,1.0,15.0,2,2.0,1.0,3.5,5.0,4.0,14.0,13.0,13.0,B
122,0.0,16.0,2,4.0,2.0,2.0,2.0,2.0,14.0,12.0,13.0,B
123,1.0,16.0,4,4.0,1.0,1.0,4.0,4.0,12.0,13.0,13.0,B
124,0.0,16.0,2,2.0,1.0,2.0,4.0,4.0,12.0,11.0,11.0,B
125,1.0,15.0,3,4.0,1.0,1.0,5.0,5.0,9.0,9.0,9.0,C
126,0.0,15.0,3,4.0,1.0,2.0,3.0,2.0,10.0,11.0,11.0,B
127,0.0,18.5,0,1.0,1.0,2.0,4.0,2.0,9.0,10.0,11.0,B
