,school,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3,letter_grade,reason_course,reason_home,reason_other,reason_reputation,Mjob_at_home,Mjob_health,Mjob_other,Mjob_services,Mjob_teacher,Fjob_at_home,Fjob_health,Fjob_other,Fjob_services,Fjob_teacher,guardian_father,guardian_mother,guardian_other
0,0,0,18,1,0,0,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,4,0,11,11,B,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
1,0,0,17,1,0,1,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,2,9,11,11,B,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
2,0,0,15,1,1,1,1,1,1,2,0,1,0,0,0,1,1,1,0,4,3,2,2,3,3,6,12,13,12,B,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
3,0,0,15,1,0,1,4,2,1,3,0,0,1,0,1,1,1,1,1,3,2,2,1,1,5,0,14,14,14,B,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4,0,0,16,1,0,1,3,3,1,2,0,0,1,0,0,1,1,0,0,4,3,2,1,2,5,0,11,13,13,B,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
5,0,1,16,1,1,1,4,3,1,2,0,0,1,0,1,1,1,1,0,5,4,2,1,2,5,6,12,12,13,B,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0
6,0,1,16,1,1,1,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,13,12,13,B,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
7,0,0,17,1,0,0,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1.5,4,1,1,1,2,10,13,13,B,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
8,0,1,15,1,1,0,3,2,1,2,0,0,1,0,0,1,1,1,0,4,2,2,1,1,1,0,15,16,17,A,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,0,1,15,1,0,1,3,4,1,2,0,0,1,0,1,1,1,1,0,5,5,1,1,1,5,0,12,12,13,B,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
10,0,0,15,1,0,1,4,4,1,2,0,0,1,0,0,1,1,1,0,3,3,3,1,2,2,2,14,14,14,B,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0
11,0,0,15,1,0,1,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,0,10,12,13,B,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0
12,0,1,15,1,1,1,4,4,1,1,0,0,1,0,1,1,1,1,0,4,3,3,1,3,5,0,12,13,12,B,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
13,0,1,15,1,0,1,4,3,2,2,0,0,1,0,0,1,1,1,0,5,4,3,1,2,3,0,12,12,13,B,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
14,0,1,15,1,0,0,2,2,1,3,0,0,1,0,0,1,1,1,1,4,5,2,1,1,3,0,14,14,15,B,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
15,0,0,16,1,0,1,4,4,1,1,0,0,1,0,0,1,1,1,0,4,4,4,1,2,2,6,17,17,17,A,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
16,0,0,16,1,0,1,4,4,1,3,0,0,1,0,1,1,1,1,0,3,2,3,1,2,2,10,13,13,14,B,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
17,0,0,16,1,0,1,3,3,3,2,0,1,1,0,1,1,1,0,0,5,3,2,1,1,4,2,13,14,14,B,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
18,0,1,17,1,0,1,3,2,1,1,0,0,1,1,1,1,1,1,0,5,5,5,2,4,5,2,8,8,7,C,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
19,0,1,16,1,1,1,4,3,1,1,0,0,0,0,1,1,1,1,0,3,1.5,3,1,3,5,6,12,12,12,B,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
20,0,1,15,1,0,1,4,3,1,2,0,0,0,0,0,1,1,1,0,4,4,1,1,1,1,0,12,13,14,B,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0
21,0,1,15,1,0,1,4,4,1,1,0,0,1,1,0,1,1,1,0,5,4,2,1,1,5,0,11,12,12,B,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0
22,0,1,16,1,1,1,4,2,1,2,0,0,0,0,1,1,1,1,0,4,5,1,1,3,5,0,12,13,14,B,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
23,0,1,16,1,1,1,2,2,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,2,10,10,10,C,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0
24,0,0,15,0,0,1,2,4,1,3,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2,10,11,10,C,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
25,0,0,16,1,0,1,2,2,1,1,0,0,1,0,0,0,1,1,0,2.5,2,2,1,3,5,6,10,11,12,B,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
26,0,1,15,1,0,1,2,2,1,1,0,0,1,0,0,1,1,1,0,4,2,2,1,2,5,8,11,12,12,B,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0
27,0,1,15,1,0,1,4,2,1,1,0,0,0,0,0,1,1,1,0,2.5,2,4,2,4,1,0,11,11,11,B,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
28,0,1,16,1,1,0,3,4,1,2,0,1,1,1,1,1,1,1,0,5,3,3,1,1,5,2,12,12,13,B,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
29,0,1,16,1,0,1,4,4,1,2,0,0,1,1,1,1,1,1,1,4,4,5,3.5,5,5,4,12,11,12,B,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0
30,0,1,15,1,0,1,4,4,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0,10,11,11,B,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
31,0,1,15,1,0,1,4,4,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,2,15,15,15,B,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0
32,0,1,15,0,0,1,4,3,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0,13,14,15,B,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
